기간,자치구,동,사업체수,여성대표자,계,남,여,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수
2019,도봉구,도봉2동,"1,426",477,"6,319","3,383","2,936","1,221","2,438",104,"1,743",39,"1,467",62,671
2019,노원구,소계,"26,618","9,576","116,684","54,993","61,691","22,790","53,618","2,142","27,927",658,"27,447","1,028","7,692"
2019,노원구,월계1동,"1,466",521,"6,721","3,998","2,723","1,278","3,111",88,"1,485",30,"1,608",70,517
2019,노원구,월계2동,930,237,"3,255","1,684","1,571",812,"1,396",49,455,28,"1,106",41,298
2019,노원구,월계3동,996,323,"4,143","2,192","1,951",878,"1,755",71,"1,343",17,708,30,337
2019,노원구,공릉2동,"1,955",650,"11,629","5,849","5,780","1,639","3,436",153,"1,784",79,"6,002",84,407
2019,노원구,하계1동,"1,088",412,"7,931","3,841","4,090",840,"2,282",144,"1,994",45,"3,210",59,445
2019,노원구,하계2동,414,130,"1,220",476,744,382,704,8,44,7,334,17,138
2019,노원구,중계본동,"1,205",471,"5,602","2,620","2,982","1,049","2,770",84,"1,646",28,932,44,254
2019,노원구,중계1동,"1,050",441,"4,205","1,881","2,324",892,"2,292",94,"1,068",18,529,46,316
2019,노원구,중계4동,"1,059",430,"3,923","1,649","2,274",937,"2,357",52,465,26,700,44,401
2019,노원구,상계1동,"3,183",727,"9,518","5,157","4,361","2,857","5,068",192,"2,744",47,"1,321",87,385
2019,노원구,상계2동,"2,668","1,195","10,536","4,320","6,216","2,186","6,630",372,"2,544",45,723,65,639
2019,노원구,상계5동,"1,567",625,"4,936","2,316","2,620","1,377","3,104",83,"1,032",23,228,84,572
2019,노원구,상계8동,484,227,"1,697",582,"1,115",445,"1,094",9,71,11,370,19,162
2019,노원구,상계9동,698,261,"2,520","1,060","1,460",644,"1,351",21,230,14,710,19,229
2019,노원구,상계10동,515,154,"2,188","1,260",928,453,825,28,498,22,761,12,104
2019,노원구,상계3.4동,"1,196",429,"3,787","2,216","1,571","1,023","1,852",44,"1,165",33,437,96,333
2019,노원구,상계6.7동,"1,921",738,"15,772","5,810","9,962","1,556","5,156",241,"4,171",69,"5,598",55,847
2019,노원구,중계2.3동,"1,382",597,"5,153","2,081","3,072","1,212","2,551",81,863,50,"1,223",39,516
2019,노원구,공릉1동,"2,841","1,008","11,948","6,001","5,947","2,330","5,884",328,"4,325",66,947,117,792
2019,은평구,소계,"24,681","9,535","93,631","43,830","49,801","21,412","48,586","1,698","19,734",623,"19,996",948,"5,315"
2019,은평구,녹번동,"1,962",694,"9,531","4,653","4,878","1,546","3,745",182,"1,653",119,"3,406",115,727
2019,은평구,불광1동,"1,627",694,"7,034","2,592","4,442","1,429","3,373",107,"1,698",35,"1,519",56,444
2019,은평구,갈현1동,"1,498",576,"4,881","2,198","2,683","1,327","3,209",99,938,22,478,50,256
2019,은평구,갈현2동,"1,579",640,"5,985","2,472","3,513","1,422","3,463",76,793,32,"1,116",49,613
2019,은평구,구산동,"1,216",410,"5,509","2,544","2,965","1,047","1,947",51,942,53,"2,218",65,402
2019,은평구,대조동,"2,430","1,156","7,864","3,357","4,507","2,179","5,482",172,"1,374",25,809,54,199
2019,은평구,응암1동,"1,661",673,"7,831","3,748","4,083","1,362","3,921",192,"2,542",50,"1,067",57,301
2019,은평구,응암2동,707,300,"2,102",886,"1,216",641,"1,282",18,76,17,537,31,207
2019,은평구,신사1동,"1,347",491,"4,066","2,093","1,973","1,195","2,528",69,878,31,469,52,191
2019,은평구,신사2동,"1,704",285,"3,716","2,345","1,371","1,609","2,339",33,548,20,586,42,243
2019,은평구,증산동,945,361,"3,619","2,169","1,450",791,"1,601",92,"1,521",24,368,38,129
2019,은평구,수색동,514,171,"2,264","1,483",781,423,789,51,947,23,402,17,126
2019,은평구,진관동,"1,894",811,"12,366","5,292","7,074","1,436","3,937",269,"3,275",66,"4,451",123,703
